"X","Country","Region","Freedom","Year","Rank","Score","GDP","Life.Expectancy","Corruption"
126,"Uganda","Sub-Saharan Africa",0.731713951,2020,126,4.43200016,7.500389576,55.70820236,0.836737812
127,"Chad","Sub-Saharan Africa",0.587305248,2020,127,4.422699928,7.467963696,48.22053909,0.802760839
128,"Tunisia","Middle East and North Africa",0.593361557,2020,128,4.392199993,9.314972878,66.89785767,0.867590249
129,"Mauritania","Sub-Saharan Africa",0.551522553,2020,129,4.374599934,8.233919144,57.01017761,0.746223509
130,"Sri Lanka","South Asia",0.837633669,2020,130,4.327000141,9.389969826,67.20006561,0.859001756
131,"Congo (Kinshasa)","Sub-Saharan Africa",0.700793564,2020,131,4.31099987,6.694256306,52.90000153,0.809403598
132,"Swaziland","Sub-Saharan Africa",0.646822274,2020,132,4.308100224,9.16267395,51.18823624,0.708263338
133,"Myanmar","Southeast Asia",0.895075202,2020,133,4.308000088,8.680481911,58.96171188,0.645124316
134,"Comoros","Sub-Saharan Africa",0.547612607,2020,134,4.288599968,7.833630085,57.34901047,0.780622602
135,"Togo","Sub-Saharan Africa",0.649828613,2020,135,4.187200069,7.357711315,54.71989822,0.757733464
136,"Ethiopia","Sub-Saharan Africa",0.740795195,2020,136,4.186200142,7.509385586,58.63959122,0.753690004
137,"Madagascar","Sub-Saharan Africa",0.557574093,2020,137,4.165599823,7.281685829,59.10542679,0.817485631
138,"Egypt","Middle East and North Africa",0.708354175,2020,138,4.151400089,9.316541672,61.78015137,0.787726879
139,"Sierra Leone","Sub-Saharan Africa",0.715315044,2020,139,3.926399946,7.26880312,50.86514282,0.861330688
140,"Burundi","Sub-Saharan Africa",0.626350224,2020,140,3.775300026,6.492642403,53.40000153,0.606934547
141,"Zambia","Sub-Saharan Africa",0.806500256,2020,141,3.759399891,8.224720001,55.29937744,0.801289678
142,"Haiti","Latin America and Caribbean",0.537825167,2020,142,3.720799923,7.411329269,55.59862518,0.684767246
143,"Lesotho","Sub-Saharan Africa",0.738125861,2020,143,3.652800083,7.960488319,48.00362396,0.857392073
144,"India","South Asia",0.881444871,2020,144,3.573299885,8.849823952,60.21518707,0.772042692
145,"Malawi","Sub-Saharan Africa",0.803223193,2020,145,3.538000107,7.062226295,57.59288788,0.731700778
146,"Yemen","Middle East and North Africa",0.599920273,2020,146,3.527400017,7.759682655,56.72728348,0.800287724
147,"Botswana","Sub-Saharan Africa",0.821328104,2020,147,3.478899956,9.711203575,58.92445374,0.777930915
148,"Tanzania","Sub-Saharan Africa",0.82153976,2020,148,3.476200104,7.967665195,57.49607468,0.619799435
149,"Central African Republic","Sub-Saharan Africa",0.640880644,2020,149,3.475899935,6.625160217,45.20000076,0.891806662
150,"Rwanda","Sub-Saharan Africa",0.900589406,2020,150,3.312299967,7.600104332,61.09884644,0.183541179
151,"Zimbabwe","Sub-Saharan Africa",0.711457908,2020,151,3.299200058,7.865711689,55.61725998,0.81023699
152,"South Sudan","Sub-Saharan Africa",0.451313615,2020,152,2.816600084,7.425359726,51,0.763417304
153,"Afghanistan","South Asia",0.396573007,2020,153,2.566900015,7.462860584,52.59000015,0.933686554
